Game Number,Agent Name,Balance,Games Won
71,Agent 549,72643.0,1
71,Agent 551,0.0,0
71,Agent 555,0.0,0
71,Agent 543,67189.23723264,1
71,Agent 537,37315.06539264,1
72,Agent 543,0.0,1
72,Agent 537,0.0,1
72,Agent 556,0.0,0
72,Agent 557,0.0,0
72,Agent 559,122199.0,1
72,Agent 549,4580.444868444162,1
73,Agent 565,50550.0,1
73,Agent 566,0.0,0
73,Agent 567,0.0,0
73,Agent 559,111949.0,1
74,Agent 559,73338.87999999998,1
74,Agent 571,89999.0,1
74,Agent 572,0.0,0
74,Agent 574,0.0,0
74,Agent 575,0.0,0
74,Agent 576,0.0,0
74,Agent 565,11939.880000000001,1
75,Agent 565,0.0,1
75,Agent 580,0.0,0
75,Agent 581,67304.0,1
75,Agent 582,0.0,0
75,Agent 584,67304.0,1
75,Agent 571,12236.294400000002,1
76,Agent 571,0.0,1
76,Agent 587,0.0,0
76,Agent 588,0.0,0
76,Agent 589,55124.0,1
76,Agent 590,55124.0,1
76,Agent 591,0.0,0
76,Agent 592,0.0,0
76,Agent 584,0.0,1
77,Agent 595,0.0,0
77,Agent 596,111220.0,1
77,Agent 597,0.0,0
77,Agent 598,0.0,0
77,Agent 599,0.0,0
77,Agent 590,2455.142399999998,1
78,Agent 601,124266.0,1
78,Agent 602,0.0,0
78,Agent 603,0.0,0
78,Agent 604,0.0,0
78,Agent 605,0.0,0
78,Agent 606,0.0,0
78,Agent 607,0.0,0
78,Agent 596,11410.8,1
79,Agent 596,0.0,1
79,Agent 609,152327.0,1
79,Agent 610,0.0,0
79,Agent 612,0.0,0
79,Agent 613,0.0,0
79,Agent 614,0.0,0
79,Agent 615,0.0,0
79,Agent 616,0.0,0
79,Agent 601,57589.0,1
80,Agent 601,0.0,1
80,Agent 617,0.0,0
80,Agent 618,0.0,0
80,Agent 619,0.0,0
80,Agent 621,0.0,0
80,Agent 622,0.0,0
80,Agent 623,0.0,0
80,Agent 609,269915.8,2
81,Agent 625,0.0,0
81,Agent 626,0.0,0
81,Agent 627,0.0,0
81,Agent 628,0.0,0
81,Agent 629,0.0,0
81,Agent 630,100000.0,1
81,Agent 631,0.0,0
81,Agent 633,0.0,0
81,Agent 609,255811.8,2
82,Agent 609,34303.23360000001,2
82,Agent 634,0.0,0
82,Agent 635,0.0,0
82,Agent 636,0.0,0
82,Agent 637,0.0,0
82,Agent 638,0.0,0
82,Agent 639,0.0,0
82,Agent 640,0.0,0
82,Agent 630,320059.0,2
83,Agent 630,214742.5,2
83,Agent 642,0.0,0
