Game Number,Agent Name,Balance,Games Won
55,Agent 448,131845.0,1
55,Agent 434,37218.3181676544,1
55,Agent 450,10000,0
55,Agent 451,10000,0
55,Agent 452,10000,0
55,Agent 453,10000,0
55,Agent 454,10000,0
55,Agent 455,10000,0
55,Agent 456,10000,0
55,Agent 457,10000,0
56,Agent 457,67631.0,1
56,Agent 448,91551.6,1
56,Agent 458,10000,0
56,Agent 459,10000,0
56,Agent 460,10000,0
56,Agent 461,10000,0
56,Agent 462,10000,0
56,Agent 463,10000,0
56,Agent 464,10000,0
56,Agent 465,10000,0
57,Agent 457,13324.819999999992,1
57,Agent 448,194940.42,2
57,Agent 466,10000,0
57,Agent 467,10000,0
57,Agent 468,10000,0
57,Agent 469,10000,0
57,Agent 470,10000,0
57,Agent 471,10000,0
57,Agent 472,10000,0
57,Agent 473,10000,0
58,Agent 473,60150.0,1
58,Agent 474,10000,0
58,Agent 475,10000,0
58,Agent 476,10000,0
58,Agent 477,10000,0
58,Agent 478,10000,0
58,Agent 479,10000,0
58,Agent 480,10000,0
58,Agent 481,10000,0
58,Agent 482,10000,0
59,Agent 473,112410.0,2
59,Agent 483,10000,0
59,Agent 484,10000,0
59,Agent 485,10000,0
59,Agent 486,10000,0
59,Agent 487,10000,0
59,Agent 488,10000,0
59,Agent 489,10000,0
59,Agent 490,10000,0
59,Agent 491,10000,0
60,Agent 486,50150.0,1
60,Agent 492,10000,0
60,Agent 493,10000,0
60,Agent 494,10000,0
60,Agent 495,10000,0
60,Agent 496,10000,0
60,Agent 497,10000,0
60,Agent 498,10000,0
60,Agent 499,10000,0
60,Agent 500,10000,0
61,Agent 496,29256.0,1
61,Agent 486,52296.72,2
61,Agent 501,10000,0
61,Agent 502,10000,0
61,Agent 503,10000,0
61,Agent 504,10000,0
61,Agent 505,10000,0
61,Agent 506,10000,0
61,Agent 507,10000,0
61,Agent 508,10000,0
62,Agent 486,40184.72,2
62,Agent 502,95404.0,1
62,Agent 496,17144.0,1
62,Agent 509,10000,0
62,Agent 510,10000,0
62,Agent 511,10000,0
62,Agent 512,10000,0
62,Agent 513,10000,0
62,Agent 514,10000,0
62,Agent 515,10000,0
63,Agent 502,55909.84,1
63,Agent 486,132256.56,3
63,Agent 516,10000,0
63,Agent 517,10000,0
63,Agent 518,10000,0
63,Agent 519,10000,0
63,Agent 520,10000,0
63,Agent 521,10000,0
63,Agent 522,10000,0
63,Agent 523,10000,0
64,Agent 519,138977.0,1
64,Agent 486,18085.90464,3
64,Agent 524,10000,0
64,Agent 525,10000,0
64,Agent 526,10000,0
64,Agent 527,10000,0
64,Agent 528,10000,0
64,Agent 529,10000,0
64,Agent 530,10000,0
64,Agent 531,10000,0
65,Agent 531,76336.0,1
65,Agent 486,1585.293248,3
65,Agent 532,10000,0
65,Agent 533,10000,0
65,Agent 534,10000,0
65,Agent 535,10000,0
65,Agent 536,10000,0
65,Agent 537,10000,0
65,Agent 538,10000,0
65,Agent 539,10000,0
66,Agent 536,76608.0,1
66,Agent 531,5447.68,1
66,Agent 540,10000,0
66,Agent 541,10000,0
66,Agent 542,10000,0
66,Agent 543,10000,0
66,Agent 544,10000,0
66,Agent 545,10000,0
66,Agent 546,10000,0
66,Agent 547,10000,0
67,Agent 541,108086.0,1
67,Agent 536,28119.2,1
67,Agent 548,10000,0
67,Agent 549,10000,0
67,Agent 550,10000,0
67,Agent 551,10000,0
67,Agent 552,10000,0
67,Agent 553,10000,0
67,Agent 554,10000,0
67,Agent 555,10000,0
68,Agent 549,94213.0,1
68,Agent 541,31449.8816,1
68,Agent 556,10000,0
68,Agent 557,10000,0
68,Agent 558,10000,0
68,Agent 559,10000,0
